Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","LIPO Battery","","BAT","","Not managed","","1","","","","","","",""
"","10µF","RUBYCON - 35TZV10M4X6.1 - KONDENSATOR, 10µF, 35V, RADIAL, SMD","C1","","Not managed","","1","Rubycon","35TZV10M4X6.1","Volume Production","Newark","08X5009","",""
"","0.1µF/100nF","Cap Ceramic 0.1uF 25V X7R 10% Pad SMD 0603 125C T/R","C2, C7, C8, C9, C12","","Not managed","","5","Multicomp","MC0603B104K250CT","Volume Production","Newark","94W8728","",""
"","22µF","1210 22 uF 10 V ±10 % Tolerance X7R Surface Mount Multilayer Ceramic Capacitor","C3, C4","","Not managed","","2","Kyocera AVX","1210ZC226KAT2A","Volume Production","Newark","95W9441","",""
"","33pF","Cap Ceramic 33pF 50V C0G 5% Pad SMD 0402 125°C Ultra Low ESR T/R","C5, C6","","Not managed","","2","Johanson","500R07S330JV4T","Volume Production","Newark","51Y5225","",""
"","4.7µF","Cap Tant Solid 4.7uF 16V UA CASE 10% (3.2 X 1.6 X 1.2mm) Inward L SMD 3216-12 4 Ohm 125C T/R","C10","","Not managed","","1","","","","RSComponents","1882042","",""
"","220nF","0805 C 220nF Ceramic Multilayer Capacitor; 50 VDC; +125degC; X7R Dielec; +/-10%","C11","","Not managed","","1","KEMET","C0805C224K5RACTU","Volume Production","RSComponents","8029927","",""
"","SS34","DIODE SCHOTTKY 40V 3A DO214AB","D1","","Not managed","","1","","","","RSComponents","","",""
"","TP4056","","IC1","","Not managed","","1","","","","","","",""
"","FS312F-G","Lithium battery protection IC","IC2","","Not managed","","1","","","","","","",""
"","MT3608","Voltage regulator","IC3","","Not managed","","1","","","","","","",""
"","DS1307","IC RTC SERIAL 512K IND 8-SOIC","IC4","","Not managed","","1","Maxim","DS1307ZNTR","Volume Production","Digi-Key","DS1307ZN+T&R-ND","",""
"","FT232RL","Usb Interface Ics Usb to Serial Uart 28 Pin SSOP","IC5","","Not managed","","1","FTDI","FT232RL","Volume Production","RSComponents","0406580","",""
"","XC888","MCU 8-Bit XC800 8051 CISC 32KB Flash 2.5V/5V 64-Pin LQFP T/R","IC6","","Not managed","","1","Infineon","XC8888FFI5VACFXUMA1","Not Recommended for New Design","Digi-Key","XC8888FFI5VACFXUMA1TR-ND","",""
"","NRF24L01","","IC7","","Not managed","","1","","","","","","",""
"","22µH","Inductor Power Shielded Multi-Layer 22uH 20% 2MHz Ferrite 0.05A 2.145Ohm DCR 0603 T/R","L1","","Not managed","","1","TDK","MLZ1608N220LT000","Volume Production","Arrow Electronics","MLZ1608N220LT000","",""
"","Nokia LCD","Nokia 5110 LCD","LCD1","","Not managed","","1","","","","","","",""
"","RGB LED","Hyper Red/Green/Blue 50º Water Clear Full Color LED Lamp - T-1 3/4","LED1","","Not managed","","1","Kingbright","WP154A4SUREQBFZGC","Volume Production","Digi-Key","754-1615-ND","",""
"","LEDG","LED Uni-Color SB. Green 565nm 2-Pin Chip LED T/R","LEDG","","Not managed","","1","Kingbright","KPT-3216SGC","Volume Production","RSComponents","8610204P","",""
"","LEDR","Led, SMD, Red, 180MCD, 633NM","LEDR1","","Not managed","","1","Osram Opto","LSQ976-Z","Volume Production","Avnet","LSQ976-Z","",""
"","FS8205","Dual N-Channel Enhancement Mode Power MOSFET","Q1","","Not managed","","1","","","","","","",""
"","1K","1KO ±1% 1/8W ±100ppm/? 0603","R1, R2, R7","","Not managed","","3","KOA Speer","RK73H1JTTD1001F","Volume Production","Arrow Electronics","RK73H1JTTD1001F","",""
"","2K","2000O ± 1.00% 0.1W ± 100ppm/? 0603","R3, R5","","Not managed","","2","Yageo","RC0603FR-072KL","Volume Production","RSComponents","1995523","",""
"","100","Res Thick Film 2512 100 Ohm 1% 2W ±100ppm/C Pad SMD T/R","R4","","Not managed","","1","TE Connectivity","CRGP2512F100R","","RSComponents","1764326","",""
"","7.5K","7500O ± 1.00% 0.1W ± 100ppm/? 0603","R6","","Not managed","","1","Yageo","RC0603FR-077K5L","Volume Production","Newark","68R0113","",""
"","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R8, R9","","Unknown server","","2","Yageo","RC0805FR-0710KL","Volume Production","","","",""
"","10K","Res SMD 0805 10K 1% 0.125W T.C.100PPM","R10","","Not managed","","1","Yageo","RC0805FR-0710KL","Volume Production","RSComponents","6185163","",""
"","4K7 R","Surface Mount Metal Film Resistor, Pcf Series, 4.7 Kohm, 63 Mw, - 0.1%, 75 V Rohs Compliant: Yes","R11, R12, R13","","Not managed","","3","TT Welwyn","PCF0603P-R-4K7-BT1","Volume Production","Newark","61M8292","",""
"","270R","Res Thick Film 0402 270 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R","R14, R15, R16","","Not managed","","3","TE Connectivity","CRG0402F270R","Volume Production","Newark","95W7454","",""
"","Toggle Switch","C&K SK-12D07-VG 3 NS Switches > Slide > Miniature > Mini R/A Slide","SW1, SW10","","Not managed","","2","ITT C&K","SK12D07VG3NS","","Digi-Key","SK12D07VG3NS-ND","",""
"","Push button","Switch Tactile N.O. SPST Round Button PC Pins 0.02A 15VDC 2.6N Thru-Hole Bulk","SW2, SW3, SW4, SW5, SW6, SW7","","Not managed","","6","Panasonic","EVQ-PAG05R","","RSComponents","7561543P","",""
"","SMD button","Switch Tactile N.O. SPST Round Button J-Bend 0.02A 15VDC 2.6N SMD Embossed Tape","SW8, SW9","","Not managed","","2","Panasonic","EVQ-PLMA15","Volume Production","Newark","27AC5577","",""
"","61300411121","CONN HEADER 4 POS 2.54","USB1","","Not managed","","1","Wurth Electronics","61300411121","Volume Production","RSComponents","8281594","",""
"","USB header","CONN HEADER 4 POS 2.54","USB2","","Not managed","","1","Wurth Electronics","61300411121","Volume Production","RSComponents","8281594","",""
"","32.76 KHZ","Crystal, FC-12M, 32.768 Khz, 12.5 Pf","X1","","Not managed","","1","Epson","X1A0000610003 FC-12M 32.768KHZ 12.5PF","Volume Production","Farnell","1907468","",""
"","11.0592MHz","Crystal 11.0592MHz 16pF 2-Pin HC-49/U Loose","X2","","Not managed","","1","Multicomp","HC49SM-11.0592-30-50-60-16-ATF","Volume Production","Newark","33P6975","",""
